Attribute,Full Name,SiamRPN++_SR,SiamRPN++_NPR,SiamRPN++_PR,SiamRPN++_P@5,OSTrack-384_SR,OSTrack-384_NPR,OSTrack-384_PR,OSTrack-384_P@5,ODTrack_SR,ODTrack_NPR,ODTrack_PR,ODTrack_P@5,LoRAT-g378_SR,LoRAT-g378_NPR,LoRAT-g378_PR,LoRAT-g378_P@5,SAM 2_SR,SAM 2_NPR,SAM 2_PR,SAM 2_P@5,SAMURAI_SR,SAMURAI_NPR,SAMURAI_PR,SAMURAI_P@5,SAM 3_SR,SAM 3_NPR,SAM 3_PR,SAM 3_P@5
BCH,Background Change,0.2812,0.3161,0.4454,0.3772,0.4018,0.4989,0.6879,0.7003,0.3617,0.4262,0.5964,0.5597,0.5348,0.6113,0.6890,0.7267,0.3641,0.4206,0.5196,0.5272,0.2615,0.2576,0.3295,0.2851,0.4997,0.5797,0.7228,0.7500
BCL,Background Cluster,0.0898,0.0629,0.2581,0.1495,0.2009,0.2979,0.4952,0.5060,0.1408,0.1512,0.3587,0.2878,0.3598,0.4694,0.5581,0.5472,0.1415,0.2656,0.3497,0.3377,0.0566,0.0137,0.0388,0.0204,0.2370,0.2721,0.4916,0.4212
CO,Continuous Occlusion,0.0755,0.0499,0.1227,0.0987,0.0819,0.0468,0.1300,0.1340,0.0892,0.0421,0.1808,0.1523,0.1069,0.0713,0.0864,0.0874,0.0686,0.0387,0.0624,0.0555,0.0531,0.0083,0.0163,0.0136,0.1539,0.1466,0.2581,0.2355
DS,Dense Similarity,0.1443,0.1360,0.4053,0.2397,0.2274,0.2637,0.4336,0.4354,0.1871,0.1954,0.5187,0.4056,0.4306,0.5142,0.6195,0.6123,0.2100,0.2459,0.3416,0.3195,0.1432,0.1196,0.1555,0.1417,0.3489,0.3959,0.6700,0.6060
IPR,In-Plane Rotation,0.1620,0.1598,0.3640,0.2402,0.2345,0.3131,0.5251,0.5273,0.2131,0.2484,0.5003,0.4537,0.4208,0.4850,0.5726,0.5661,0.2163,0.2547,0.3229,0.3277,0.1378,0.1124,0.1415,0.1281,0.3438,0.4175,0.6285,0.6221
IV,Illumination Variation,0.0872,0.0655,0.3305,0.1714,0.1026,0.1332,0.2199,0.2192,0.1563,0.1875,0.5458,0.4626,0.3670,0.4242,0.5048,0.5049,0.0924,0.1080,0.1549,0.1539,0.0539,0.0100,0.0321,0.0215,0.2723,0.3229,0.6305,0.5535
LTO,Long-Term Occlusion,0.7245,0.8513,0.8840,0.8098,0.7630,0.8833,0.9098,1.0000,0.6993,0.8351,0.8721,0.9728,0.8044,0.8898,0.9170,1.0000,0.7681,0.9086,0.9306,0.9973,0.7753,0.9066,0.9290,1.0000,0.8225,0.9167,0.9371,1.0000
ND,Natural Disturbance,0.0977,0.0294,0.6078,0.1804,0.0876,0.0525,0.3411,0.3089,0.0965,0.0710,0.7020,0.4143,0.5888,0.7709,0.8785,0.8982,0.2531,0.3170,0.4566,0.4830,0.0476,0.0000,0.0156,0.0000,0.2124,0.3025,0.6766,0.7098
SM,Slow Motion,0.0858,0.0570,0.4174,0.1800,0.0750,0.0365,0.1852,0.1558,0.0975,0.0629,0.4941,0.3291,0.3378,0.4056,0.5159,0.4720,0.1507,0.1508,0.3104,0.2499,0.0583,0.0152,0.0687,0.0252,0.1602,0.1869,0.4898,0.4166
STO,Short-Term Occlusion,0.1175,0.1003,0.3144,0.1726,0.0942,0.0725,0.2095,0.1962,0.1563,0.1330,0.3359,0.2853,0.1878,0.1923,0.2597,0.2539,0.1062,0.0867,0.1398,0.1364,0.0580,0.0142,0.0425,0.0204,0.1734,0.2005,0.3718,0.3674
