dataset,method,size_bin,bin_idx,n_gt_tracks,n_gt_boxes,HOTA,DetA,AssA,IDF1,IDsw,MOTA
birdsai,sort,all,-1,98,78761,0.5996,0.8623,0.4232,0.5667,1780,0.9758
birdsai,ocsort,all,-1,98,78761,0.6759,0.9751,0.4685,0.6113,1364,0.9754
birdsai,bytetrack,all,-1,98,78761,0.4095,0.8161,0.2099,0.3002,5680,0.852
birdsai,botsort,all,-1,98,78761,0.4338,0.9338,0.2042,0.2912,7266,0.9066
birdsai,botsort_reid,all,-1,98,78761,0.4399,0.9331,0.21,0.3052,7237,0.9074
birdsai,tracktrack,all,-1,98,78761,0.6623,0.9427,0.4653,0.5922,1098,0.9398
birdsai,sort,<14,0,41,9638,0.5369,0.8076,0.3575,0.513,827,0.9129
birdsai,ocsort,<14,0,41,9638,0.6913,0.9679,0.4938,0.5795,599,0.9076
birdsai,bytetrack,<14,0,41,9638,0.1958,0.649,0.0595,0.1399,1758,0.5877
birdsai,botsort,<14,0,41,9638,0.23,0.9141,0.0579,0.1342,2600,0.7301
birdsai,botsort_reid,<14,0,41,9638,0.2349,0.9134,0.0604,0.1394,2619,0.7278
birdsai,tracktrack,<14,0,41,9638,0.6788,0.8809,0.5231,0.5845,390,0.8413
birdsai,sort,14-20,1,12,11278,0.3943,0.7884,0.1973,0.4382,261,0.9226
birdsai,ocsort,14-20,1,12,11278,0.5278,0.9176,0.3036,0.5637,184,0.9231
birdsai,bytetrack,14-20,1,12,11278,0.1307,0.7559,0.0227,0.0729,1124,0.7643
birdsai,botsort,14-20,1,12,11278,0.1431,0.8681,0.0236,0.0698,1270,0.8316
birdsai,botsort_reid,14-20,1,12,11278,0.1663,0.8639,0.032,0.0951,1182,0.8406
birdsai,tracktrack,14-20,1,12,11278,0.4925,0.8974,0.2703,0.4828,204,0.9018
birdsai,sort,20-28,2,16,15595,0.6122,0.8211,0.4566,0.6259,236,0.9438
birdsai,ocsort,20-28,2,16,15595,0.712,0.9477,0.535,0.6431,157,0.9424
birdsai,bytetrack,20-28,2,16,15595,0.1933,0.7764,0.0483,0.1233,1265,0.8043
birdsai,botsort,20-28,2,16,15595,0.2015,0.8823,0.046,0.1143,1524,0.8618
birdsai,botsort_reid,20-28,2,16,15595,0.2216,0.8837,0.0556,0.1401,1506,0.8621
birdsai,tracktrack,20-28,2,16,15595,0.7175,0.9377,0.549,0.6455,119,0.9326
birdsai,sort,28-38,3,4,1425,0.6443,0.8816,0.4712,0.6436,22,0.9804
birdsai,ocsort,28-38,3,4,1425,0.8067,0.9912,0.6566,0.7203,18,0.9789
birdsai,bytetrack,28-38,3,4,1425,0.3913,0.8222,0.1864,0.3364,105,0.8428
birdsai,botsort,28-38,3,4,1425,0.4292,0.9451,0.1951,0.3319,149,0.8912
birdsai,botsort_reid,28-38,3,4,1425,0.429,0.9446,0.1951,0.3319,145,0.894
birdsai,tracktrack,28-38,3,4,1425,0.7151,0.9675,0.5286,0.6481,19,0.9544
birdsai,sort,38-50,4,14,18192,0.7877,0.8956,0.6951,0.7636,126,0.9582
birdsai,ocsort,38-50,4,14,18192,0.8322,0.9605,0.721,0.7788,123,0.9567
birdsai,bytetrack,38-50,4,14,18192,0.6754,0.8677,0.5273,0.6305,456,0.9195
birdsai,botsort,38-50,4,14,18192,0.7039,0.934,0.5314,0.6216,522,0.9363
birdsai,botsort_reid,38-50,4,14,18192,0.7076,0.9328,0.5376,0.6356,533,0.9356
birdsai,tracktrack,38-50,4,14,18192,0.8034,0.9385,0.6878,0.7579,114,0.9343
birdsai,sort,>=50,5,11,22633,0.496,0.8636,0.2897,0.431,313,0.9574
birdsai,ocsort,>=50,5,11,22633,0.5462,0.9565,0.3119,0.4608,284,0.9575
birdsai,bytetrack,>=50,5,11,22633,0.3957,0.8351,0.1902,0.3065,1001,0.8891
birdsai,botsort,>=50,5,11,22633,0.4149,0.9212,0.188,0.3068,1195,0.9195
birdsai,botsort_reid,>=50,5,11,22633,0.4184,0.9187,0.1917,0.3131,1253,0.9171
birdsai,tracktrack,>=50,5,11,22633,0.5264,0.9131,0.3034,0.4481,266,0.9052
